topology,node,node_type,is_attacker,global_det_30,global_det_50,pertopo_det_30,pertopo_det_50,global_fpr_30,global_fpr_50,pertopo_fpr_30,pertopo_fpr_50
tree,c1,consumer,True,0.891156462585034,0.9115646258503401,0.9115646258503401,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,c2,consumer,False,0.01020408163265306,0.5170068027210885,0.30272108843537415,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,c3,consumer,False,0.027210884353741496,0.5510204081632653,0.5272108843537415,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,c4,consumer,False,0.01020408163265306,0.5612244897959183,0.5238095238095238,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,c5,consumer,False,0.034129692832764506,0.5426621160409556,0.5836177474402731,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,c6,consumer,False,0.017064846416382253,0.5767918088737202,0.6109215017064846,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,p1,producer,False,0.01020408163265306,0.9047619047619048,0.9013605442176871,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,p2,producer,False,0.006825938566552901,0.3003412969283277,0.18771331058020477,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,r1,router,False,0.8839590443686007,0.9010238907849829,0.8976109215017065,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,r2,router,False,0.8839590443686007,0.9044368600682594,0.8976109215017065,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,r3,router,False,0.017064846416382253,0.22184300341296928,0.10580204778156997,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
tree,r4,router,False,0.0136986301369863,0.1952054794520548,0.08561643835616438,1.0,0.005859065716547902,0.01868566904196358,0.010029031406703616,0.03821588809712325
dumbbell,c1,consumer,True,0.9851024208566108,0.9869646182495344,0.9832402234636871,0.9869646182495344,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
dumbbell,c2,consumer,False,0.0074487895716946,0.03165735567970205,0.00931098696461825,0.037243947858473,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
dumbbell,c3,consumer,False,0.0074487895716946,0.05027932960893855,0.00931098696461825,0.06517690875232775,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
dumbbell,p1,producer,False,0.024208566108007448,0.7243947858472998,0.020484171322160148,0.22160148975791433,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
dumbbell,p2,producer,False,0.0074487895716946,0.0223463687150838,0.0074487895716946,0.01675977653631285,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
