node,timestamp,pit_size,pit_growth_rate,cs_size,cache_hit_ratio,satisfaction_ratio,unsatisfied_ratio,in_interests_rate,out_interests_rate,in_data_rate,nack_rate,raw_score,norm_score,anom_30,anom_50,topology,model
c1,2026-05-13 16:17:19.419159,3.0,-2.958310016098137,244.0,0.12727272727272726,1.0,0.0,24.652583467484472,11.833240064392548,15.777653419190063,0.0,-0.05068243331721567,18.612682756307326,True,True,tree,per_topo
c1,2026-05-13 16:17:21.433618,3.0,0.0,244.0,0.06666666666666667,1.0,0.0,7.446167928957601,3.9712895621107207,3.4748783668468803,0.0,-0.002630630729370087,29.408950504036504,True,True,tree,per_topo
c1,2026-05-13 16:17:23.448982,3.0,0.0,244.0,0.0,1.0,0.0,4.9618828162059065,2.9771296897235437,2.9771296897235437,0.0,0.007065917185106518,31.83784196071169,False,True,tree,per_topo
c1,2026-05-13 16:17:25.464542,3.0,0.0,244.0,0.0,1.0,0.0,4.961400305622259,2.9768401833733558,2.9768401833733558,0.0,0.007065917185106518,31.83784196071169,False,True,tree,per_topo
c1,2026-05-13 16:17:27.481257,3.0,0.0,244.0,0.0,1.0,0.0,4.958558844457447,2.975135306674468,2.975135306674468,0.0,0.007065917185106518,31.83784196071169,False,True,tree,per_topo
c1,2026-05-13 16:17:29.499467,3.0,0.0,244.0,0.0,1.0,0.0,4.954885765108686,2.9729314590652116,2.9729314590652116,0.0,0.007065917185106518,31.83784196071169,False,True,tree,per_topo
c1,2026-05-13 16:17:31.525317,3.0,0.0,244.0,0.0,1.0,0.0,4.936199619912629,2.9617197719475774,3.4553397339388403,0.0,0.009226605234581409,32.39983597469522,False,True,tree,per_topo
c1,2026-05-13 16:17:33.540449,3.0,0.0,244.0,0.0,0.8888888888888888,0.1111111111111111,7.443681108731339,4.4662086652388036,3.4737178507412914,0.9924908144975119,-0.04471044844727656,19.954466917752264,True,True,tree,per_topo
c1,2026-05-13 16:17:35.555768,3.0,0.0,244.0,0.0,1.0,0.0,4.96199360994463,2.977196165966778,2.977196165966778,0.0,0.007065917185106518,31.83784196071169,False,True,tree,per_topo
c1,2026-05-13 16:17:37.571178,3.0,0.0,244.0,0.0,1.0,0.0,4.961769565497839,2.977061739298703,2.977061739298703,0.0,0.007065917185106518,31.83784196071169,False,True,tree,per_topo
c1,2026-05-13 16:17:39.589872,3.0,0.0,244.0,0.0,1.0,0.0,4.953697786786903,2.9722186720721417,3.467588450750832,0.0,0.00814121675911339,32.11752690828095,False,True,tree,per_topo
c1,2026-05-13 16:17:41.616793,3.0,0.0,244.0,0.0,1.0,0.0,4.933591393053799,2.960154835832279,2.4667956965268996,0.0,0.01715119286750788,34.461017742269206,False,True,tree,per_topo
