node,pit_size,pit_growth_rate,cs_size,cache_hit_ratio,satisfaction_ratio,unsatisfied_ratio,in_interests_rate,out_interests_rate,in_data_rate,nack_rate,topology,raw_score,norm_score,anom_30,anom_50
c1,3,-0.19874923765908206,244,0.12727272727272726,1.0,0.0,15.544010126411878,7.879612883915501,8.224937000194302,0.0,tree,-0.03243857143428386,22.42000589004922,True,True
c1,3,0.0,244,0.06666666666666667,1.0,0.0,7.446167928957601,3.9712895621107207,3.4748783668468803,0.0,tree,0.035419282101109784,39.1347870383285,False,True
c1,3,0.0,244,0.0,1.0,0.0,4.9618828162059065,2.9771296897235437,2.9771296897235437,0.0,tree,0.09106888083796538,53.48706080205005,False,False
c1,3,0.0,244,0.0,1.0,0.0,4.961400305622259,2.9768401833733558,2.9768401833733558,0.0,tree,0.09106888083796538,53.48706080205005,False,False
c1,3,0.0,244,0.0,1.0,0.0,4.958558844457447,2.975135306674468,2.975135306674468,0.0,tree,0.09106888083796538,53.48706080205005,False,False
c1,3,0.0,244,0.0,1.0,0.0,4.954885765108686,2.9729314590652116,2.9729314590652116,0.0,tree,0.09106888083796538,53.48706080205005,False,False
c1,3,0.0,244,0.0,1.0,0.0,4.936199619912629,2.9617197719475774,3.4553397339388403,0.0,tree,0.08073784564444608,50.82264185338597,False,False
c1,3,0.0,244,0.0,0.8888888888888888,0.1111111111111111,7.443681108731339,4.4662086652388036,3.4737178507412914,0.9924908144975119,tree,0.020078093208383496,35.178227640829185,False,True
c1,3,0.0,244,0.0,1.0,0.0,4.96199360994463,2.977196165966778,2.977196165966778,0.0,tree,0.09106888083796538,53.48706080205005,False,False
c1,3,0.0,244,0.0,1.0,0.0,4.961769565497839,2.977061739298703,2.977061739298703,0.0,tree,0.09106888083796538,53.48706080205005,False,False
c1,3,0.0,244,0.0,1.0,0.0,4.953697786786903,2.9722186720721417,3.467588450750832,0.0,tree,0.0795500346861967,50.51630023656757,False,False
c1,3,0.0,244,0.0,1.0,0.0,4.933591393053799,2.960154835832279,2.4667956965268996,0.0,tree,0.12370125796994536,61.90309291710294,False,False
c1,3,0.0,244,0.0,1.0,0.0,4.963042702515717,2.9778256215094303,2.9778256215094303,0.0,tree,0.09106888083796538,53.48706080205005,False,False
c1,3,0.0,244,0.0,1.0,0.0,5.955089691094609,3.970059794063073,2.9775448455473046,0.0,tree,0.053152626738339315,43.70829381568073,False,True
c1,3,0.0,244,0.0,1.0,0.0,4.962340795701421,2.977404477420853,2.977404477420853,0.0,tree,0.09106888083796538,53.48706080205005,False,False
c1,3,0.0,245,0.0,1.0,0.0,5.458526118551248,3.4736075299871576,3.4736075299871576,0.0,tree,0.058776271916467504,45.15865638753293,False,True
c1,3,0.0,245,0.0,1.0,0.0,4.964094703013106,2.9784568218078635,2.9784568218078635,0.0,tree,0.09091211909525587,53.446631266202296,False,False
c1,3,0.0,245,0.0,1.0,0.0,4.962141342626432,2.977284805575859,3.4734989398385023,0.0,tree,0.07938995377790747,50.47501467346807,False,False
c1,3,0.0,245,0.0,1.0,0.0,4.9561676532744405,2.9737005919646644,2.4780838266372203,0.0,tree,0.1210701266617471,61.22451269908332,False,False
c1,3,0.0,245,0.0,1.0,0.0,4.942528281146825,2.965516968688095,2.965516968688095,0.0,tree,0.09109618147091803,53.49410175413152,False,False
c1,3,0.0,245,0.0,0.7407407407407407,0.25925925925925924,15.544010126411878,7.879612883915501,8.224937000194302,6.941404136977702,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.917761958050981,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.904460568727096,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.853151434515292,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.916320941820475,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,246,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.912400703353827,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.919290067466322,tree,-0.07911872053886415,11.512150222571233,True,True
c1,4,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.916299275306587,tree,-0.07911872053886415,11.512150222571233,True,True
c1,3,-0.19874923765908206,246,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.895863609958425,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.875153240795667,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.90447137848875,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.886820612908206,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.916093447714147,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,246,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.91982663286153,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.86520625124703,tree,-0.07911872053886415,11.512150222571233,True,True
c1,3,-0.19874923765908206,246,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.89377668046675,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.915226890356049,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.861413790737089,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.905374069201537,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.900878313495387,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,246,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.920986661504017,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.902579996441794,tree,-0.07911872053886415,11.512150222571233,True,True
c1,4,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.924658095444764,tree,-0.07911872053886415,11.512150222571233,True,True
c1,3,-0.19874923765908206,246,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.91206513517216,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,246,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.907071748701066,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,247,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.86426727677758,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,247,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.912292449437645,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,247,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.91907328832359,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,247,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.914701606941751,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,247,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.894276493766245,tree,-0.07911872053886415,11.512150222571233,True,True
c1,4,0.0,247,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.915172735089254,tree,-0.07911872053886415,11.512150222571233,True,True
c1,3,-0.19874923765908206,248,0.0,0.7142857142857143,0.2857142857142857,15.544010126411878,7.879612883915501,8.224937000194302,11.848423122987619,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.91182156989369,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.908921415105286,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.917686105606778,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.907839662689934,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,248,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.913754058552291,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.917783630371487,tree,-0.07911872053886415,11.512150222571233,True,True
c1,4,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.913710745986855,tree,-0.07911872053886415,11.512150222571233,True,True
c1,2,-0.19874923765908206,248,0.0,0.7142857142857143,0.2857142857142857,15.544010126411878,7.879612883915501,8.224937000194302,11.796423226174298,tree,-0.1257346209057021,0.6193077024707553,True,True
c1,3,0.19870723347972596,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.927056434769694,tree,-0.08451935172402636,10.25017255945255,True,True
