topo,attack,rate,attacker_out,legit_out,contrast
tree,ifa,10,10.0,0.0,inf
tree,ifa,12,12.0,0.0,inf
tree,ifa,15,15.0,0.0,inf
tree,ifa,20,20.0,0.0,inf
tree,ifa,30,30.0,0.0,inf
tree,ifa,50,50.0,0.0,inf
tree,ifa,100,99.9,0.0,inf
tree,cp,10,13.8,0.0,inf
tree,cp,12,16.2,0.0,inf
tree,cp,15,19.8,0.0,inf
tree,cp,20,25.5,0.0,inf
tree,cp,30,36.4,0.0,inf
tree,cp,50,57.3,0.0,inf
tree,cp,100,108.3,0.0,inf
dfn,ifa,10,10.0,0.0,inf
dfn,ifa,12,12.0,0.0,inf
dfn,ifa,15,15.0,0.0,inf
dfn,ifa,20,20.0,0.0,inf
dfn,ifa,30,30.0,0.0,inf
dfn,ifa,50,50.0,0.0,inf
dfn,ifa,100,99.9,0.0,inf
dfn,cp,10,13.8,0.0,inf
dfn,cp,12,16.2,0.0,inf
dfn,cp,15,19.8,0.0,inf
dfn,cp,20,25.5,0.0,inf
dfn,cp,30,36.4,0.0,inf
dfn,cp,50,57.3,0.0,inf
dfn,cp,100,108.3,0.0,inf
dumbbell,ifa,10,10.0,0.0,inf
dumbbell,ifa,12,12.0,0.0,inf
dumbbell,ifa,15,15.0,0.0,inf
dumbbell,ifa,20,20.0,0.0,inf
dumbbell,ifa,30,30.0,0.0,inf
dumbbell,ifa,50,50.0,0.0,inf
dumbbell,ifa,100,99.9,0.0,inf
dumbbell,cp,10,13.8,0.0,inf
dumbbell,cp,12,16.3,0.0,inf
dumbbell,cp,15,19.8,0.0,inf
dumbbell,cp,20,25.5,0.0,inf
dumbbell,cp,30,36.5,0.0,inf
dumbbell,cp,50,57.4,0.0,inf
dumbbell,cp,100,108.4,0.0,inf
